"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"355020 São Miguel Arcanjo";9;0;0;2;0;21;32
"355030 São Paulo";22415;4583;347;11149;81;61621;100196
"355040 São Pedro";43;10;0;8;0;70;131
"355050 São Pedro do Turvo";5;0;0;1;0;6;12
"355060 São Roque";80;10;1;20;0;195;306
"355070 São Sebastião";127;16;1;58;1;319;522
"355080 São Sebastião da Grama";5;0;0;1;0;7;13
"355090 São Simão";20;1;0;3;1;38;63
"355100 São Vicente";477;107;2;410;2;2253;3251
"355110 Sarapuí";0;0;0;2;0;11;13
"355120 Sarutaiá";2;0;0;1;0;0;3
"355130 Sebastianópolis do Sul";1;0;0;1;0;1;3
"355140 Serra Azul";37;5;0;12;0;65;119
"355160 Serra Negra";14;1;0;4;0;28;47
"355150 Serrana";37;7;0;14;0;99;157
"355170 Sertãozinho";118;17;0;36;0;376;547
"355180 Sete Barras";9;0;0;8;0;12;29
"355190 Severínia";11;3;0;6;0;12;32
"355200 Silveiras";6;1;0;1;0;7;15
"355210 Socorro";29;1;0;3;0;49;82
"355220 Sorocaba";1019;96;16;235;1;2695;4062
"355230 Sud Mennucci";2;2;0;3;0;2;9
"355240 Sumaré";233;25;2;74;0;602;936
"355255 Suzanápolis";4;1;0;2;0;1;8
"355250 Suzano";261;46;4;171;0;431;913
"355260 Tabapuã";19;0;0;3;0;17;39
"355270 Tabatinga";4;1;0;3;0;20;28
"355280 Taboão da Serra";292;97;2;242;0;624;1257
"355290 Taciba";4;0;0;2;0;3;9
"355300 Taguaí";9;1;0;1;0;9;20
"355310 Taiaçu";7;2;0;1;0;16;26
"355320 Taiúva";4;1;0;1;0;14;20
"355330 Tambaú";9;0;0;2;0;17;28
"355340 Tanabi";28;2;0;1;0;42;73
"355350 Tapiraí";3;1;0;4;0;15;23
"355360 Tapiratiba";1;1;0;0;0;8;10
"355365 Taquaral";7;2;0;2;0;12;23
"355370 Taquaritinga";102;14;0;16;0;366;498
"355380 Taquarituba";28;0;0;3;0;37;68
"355385 Taquarivaí";1;0;0;0;0;0;1
"355390 Tarabai";7;1;0;2;0;1;11
"355395 Tarumã";3;1;0;1;0;7;12
"355400 Tatuí";192;13;0;17;0;368;590
"355410 Taubaté";574;48;2;102;0;1543;2269
"355420 Tejupá";1;0;0;0;0;2;3
"355430 Teodoro Sampaio";19;0;0;10;0;22;51
"355440 Terra Roxa";13;2;0;4;0;8;27
"355450 Tietê";32;2;0;5;0;39;78
"355460 Timburi";2;0;0;0;0;0;2
"355465 Torre de Pedra";5;0;0;0;0;2;7
"355470 Torrinha";9;1;0;3;0;13;26
"355475 Trabiju";1;1;0;1;0;2;5
"355480 Tremembé";101;15;1;34;0;261;412
"355490 Três Fronteiras";4;0;0;1;0;11;16
"355495 Tuiuti";0;0;0;1;0;2;3
"355500 Tupã";115;13;1;46;0;127;302
"355510 Tupi Paulista";21;4;1;9;0;45;80
"355520 Turiúba";3;0;0;0;0;5;8
"355530 Turmalina";0;0;0;0;0;1;1
"355535 Ubarana";8;1;0;0;0;10;19
"355540 Ubatuba";88;9;1;34;0;289;421
"355550 Ubirajara";3;1;0;1;0;1;6
"355560 Uchoa";11;0;0;3;0;20;34
"355570 União Paulista";2;0;1;0;0;4;7
"355580 Urânia";3;0;0;0;0;10;13
"355590 Uru";2;0;0;0;0;5;7
"355600 Urupês";20;0;0;4;0;9;33
"355610 Valentim Gentil";11;1;0;2;0;6;20
"355620 Valinhos";140;4;2;25;0;143;314
"355630 Valparaíso";38;9;0;27;0;43;117
"355635 Vargem";4;0;0;2;0;3;9
"355640 Vargem Grande do Sul";34;5;0;5;0;69;113
"355645 Vargem Grande Paulista";35;5;1;13;0;77;131
"355650 Várzea Paulista";81;8;0;27;0;323;439
"355660 Vera Cruz";8;2;1;4;0;10;25
"355670 Vinhedo";87;4;0;11;0;114;216
"355680 Viradouro";16;1;0;4;0;20;41
"355690 Vista Alegre do Alto";8;3;0;1;0;4;16
"355695 Vitória Brasil";2;0;0;0;0;5;7
"355700 Votorantim";97;8;1;30;0;244;380
"355710 Votuporanga";273;23;2;86;0;289;673
"355715 Zacarias";1;0;0;0;0;2;3
"350000 Município ignorado - SP";15;1;0;6;0;151;173
"410010 Abatiá";3;0;0;0;0;2;5
"410020 Adrianópolis";3;0;0;0;0;1;4
"410030 Agudos do Sul";4;0;0;0;0;5;9
"410040 Almirante Tamandaré";215;7;0;34;1;199;456
"410045 Altamira do Paraná";1;0;0;0;0;0;1
"412862 Alto Paraíso";2;1;0;0;0;0;3
"410060 Alto Paraná";11;5;0;5;0;16;37
"410070 Alto Piquiri";9;0;0;4;0;7;20
"410050 Altônia";14;0;1;8;0;11;34
"410080 Alvorada do Sul";10;1;0;0;0;8;19
"410090 Amaporã";3;0;0;1;0;1;5
"410100 Ampére";5;0;0;0;0;6;11
"410110 Andirá";19;4;0;10;0;17;50
"410115 Ângulo";2;0;0;0;0;3;5
"410120 Antonina";35;2;0;6;0;39;82
"410130 Antônio Olinto";3;0;0;0;0;2;5
"410140 Apucarana";197;23;2;57;1;136;416
"410150 Arapongas";151;6;3;18;0;141;319
"410160 Arapoti";24;2;0;9;0;23;58
"410165 Arapuã";1;1;0;2;0;1;5
"410170 Araruna";8;0;0;3;0;3;14
"410180 Araucária";176;6;2;36;0;257;477
"410185 Ariranha do Ivaí";3;0;0;1;0;1;5
"410190 Assaí";25;5;0;5;0;18;53
"410200 Assis Chateaubriand";15;2;0;9;0;14;40
"410210 Astorga";31;1;0;3;0;22;57
"410220 Atalaia";6;0;0;1;0;2;9
"410230 Balsa Nova";4;0;0;0;0;3;7
"410240 Bandeirantes";21;3;0;3;0;24;51
"410250 Barbosa Ferraz";2;0;0;0;0;7;9
"410270 Barra do Jacaré";1;0;0;0;0;1;2
"410260 Barracão";6;0;0;2;0;11;19
"410280 Bela Vista do Paraíso";9;2;0;2;0;10;23
"410290 Bituruna";3;0;0;3;0;2;8
"410300 Boa Esperança";1;0;0;1;0;0;2
"410302 Boa Esperança do Iguaçu";1;0;0;0;0;2;3
"410304 Boa Ventura de São Roque";2;0;0;1;0;0;3
"410305 Boa Vista da Aparecida";14;1;0;6;0;2;23
"410310 Bocaiúva do Sul";15;0;0;2;0;6;23
"410315 Bom Jesus do Sul";2;0;0;0;0;5;7
"410320 Bom Sucesso";7;1;0;4;0;1;13
"410330 Borrazópolis";7;0;0;2;0;3;12
"410335 Braganey";4;0;0;0;0;2;6
"410337 Brasilândia do Sul";0;0;0;1;0;1;2
"410340 Cafeara";1;0;0;1;0;1;3
"410345 Cafelândia";15;2;0;6;0;6;29
"410347 Cafezal do Sul";2;0;0;1;0;2;5
"410350 Califórnia";7;0;0;0;0;1;8
"410360 Cambará";30;8;1;13;0;23;75
"410370 Cambé";129;17;0;38;1;140;325
"410380 Cambira";8;2;0;2;0;6;18
"410390 Campina da Lagoa";10;1;0;2;0;10;23
"410395 Campina do Simão";4;0;0;0;0;1;5
"410400 Campina Grande do Sul";87;6;1;12;0;56;162
"410405 Campo Bonito";3;0;0;0;0;0;3
"410410 Campo do Tenente";7;0;0;2;0;4;13
"410420 Campo Largo";119;10;1;18;1;176;325
"410425 Campo Magro";30;1;0;4;0;28;63
"410430 Campo Mourão";133;5;1;61;0;120;320
"410440 Cândido de Abreu";4;0;0;2;0;6;12
"410442 Candói";6;1;0;0;1;4;12
"410445 Cantagalo";7;0;0;5;0;16;28
"410450 Capanema";8;1;0;2;0;13;24
"410460 Capitão Leônidas Marques";20;0;0;8;0;14;42
"410465 Carambeí";9;0;0;3;0;7;19
"410470 Carlópolis";14;0;0;0;0;7;21
"410480 Cascavel";624;51;1;166;0;404;1246
"410490 Castro";95;6;1;19;0;116;237
"410500 Catanduvas";2;1;0;2;0;2;7
"410510 Centenário do Sul";5;0;0;0;0;8;13
"410520 Cerro Azul";11;0;0;1;0;3;15
"410530 Céu Azul";15;1;0;3;0;8;27
"410540 Chopinzinho";6;1;0;0;0;13;20
"410550 Cianorte";97;3;0;17;0;63;180
"410560 Cidade Gaúcha";10;2;0;9;0;11;32
"410570 Clevelândia";9;0;0;2;0;13;24
"410580 Colombo";464;30;5;57;1;516;1073
"410590 Colorado";12;0;0;5;0;10;27
"410600 Congonhinhas";11;1;0;2;0;6;20
"410610 Conselheiro Mairinck";2;0;0;0;0;2;4
"410620 Contenda";14;0;0;3;0;5;22
"410630 Corbélia";19;0;0;2;0;16;37
"410640 Cornélio Procópio";41;9;1;7;0;41;99
"410645 Coronel Domingos Soares";0;0;0;1;0;0;1
"410650 Coronel Vivida";6;1;0;0;0;13;20
"410655 Corumbataí do Sul";2;0;0;0;0;0;2
"410680 Cruz Machado";8;0;0;0;0;2;10
"410657 Cruzeiro do Iguaçu";0;0;0;0;0;2;2
"410660 Cruzeiro do Oeste";6;1;1;5;0;30;43
"410670 Cruzeiro do Sul";2;1;0;0;0;2;5
"410685 Cruzmaltina";0;0;0;0;0;1;1
"410690 Curitiba";4254;238;33;508;6;7992;13031
"410700 Curiúva";1;0;0;6;0;6;13
"410715 Diamante D'Oeste";3;0;1;0;0;0;4
"410710 Diamante do Norte";0;0;0;1;0;5;6
"410712 Diamante do Sul";1;0;0;2;0;1;4
"410720 Dois Vizinhos";12;0;0;2;0;27;41
"410725 Douradina";5;0;0;2;0;5;12
"410730 Doutor Camargo";3;0;0;2;0;0;5
"410740 Enéas Marques";2;0;0;0;0;2;4
"410750 Engenheiro Beltrão";7;3;0;12;0;12;34
"410753 Entre Rios do Oeste";1;0;0;1;0;0;2
"410752 Esperança Nova";1;0;0;0;0;0;1
"410754 Espigão Alto do Iguaçu";4;0;0;0;0;0;4
"410755 Farol";1;0;0;0;0;0;1
"410760 Faxinal";17;1;0;2;0;11;31
"410765 Fazenda Rio Grande";172;6;0;23;0;125;326
"410770 Fênix";2;0;0;3;0;2;7
"410773 Fernandes Pinheiro";2;0;0;0;0;2;4
"410775 Figueira";14;2;0;3;0;3;22
"410780 Floraí";4;1;0;0;0;3;8
"410790 Floresta";3;0;0;0;0;4;7
"410800 Florestópolis";4;0;0;1;0;4;9
"410810 Flórida";3;2;0;3;0;3;11
"410820 Formosa do Oeste";7;0;0;1;0;5;13
"410830 Foz do Iguaçu";775;78;10;144;0;691;1698
"410845 Foz do Jordão";4;0;1;2;0;1;8
"410832 Francisco Alves";4;0;0;2;0;1;7
"410840 Francisco Beltrão";65;1;0;18;0;108;192
"410850 General Carneiro";17;0;0;9;0;2;28
"410855 Godoy Moreira";0;0;0;0;0;1;1
"410860 Goioerê";10;3;0;7;0;20;40
"410865 Goioxim";4;0;0;0;0;2;6
"410870 Grandes Rios";3;0;0;1;0;4;8
"410880 Guaíra";33;3;0;21;3;50;110
"410890 Guairaçá";4;0;0;2;0;2;8
"410895 Guamiranga";4;0;0;0;0;5;9
"410900 Guapirama";6;0;0;0;0;5;11
"410920 Guaraci";1;0;0;1;0;3;5
"410930 Guaraniaçu";12;1;0;2;0;4;19
"410940 Guarapuava";460;22;4;96;5;191;778
"410950 Guaraqueçaba";10;0;0;1;0;3;14
"410960 Guaratuba";133;10;0;32;0;103;278
"410965 Honório Serpa";1;0;0;0;0;0;1
"410970 Ibaiti";77;9;0;12;0;19;117
"410975 Ibema";5;0;0;0;0;1;6
"410980 Ibiporã";64;6;0;15;0;44;129
"410990 Icaraíma";7;1;0;3;0;8;19
"411000 Iguaraçu";11;0;0;0;0;5;16
"411005 Iguatu";1;0;0;1;0;0;2
"411007 Imbaú";7;0;0;3;0;6;16
"411010 Imbituva";36;1;0;0;0;13;50
"411020 Inácio Martins";3;0;0;0;0;2;5
"411030 Inajá";0;0;0;2;0;1;3
"411040 Indianópolis";3;0;0;0;0;1;4
"411050 Ipiranga";7;0;0;1;0;2;10
"411060 Iporã";26;1;0;7;0;20;54
"411070 Irati";45;1;0;2;0;29;77
"411080 Iretama";2;0;0;2;0;2;6
"411090 Itaguajé";9;2;0;3;0;6;20
"411095 Itaipulândia";7;0;0;0;0;1;8
"411100 Itambaracá";3;0;0;3;0;2;8
"411110 Itambé";7;1;0;1;0;6;15
"411120 Itapejara d'Oeste";0;1;0;0;0;4;5
"411125 Itaperuçu";13;0;0;3;0;9;25
"411130 Itaúna do Sul";0;0;0;0;0;2;2
"411140 Ivaí";3;0;0;0;0;2;5
"411150 Ivaiporã";35;4;0;15;0;37;91
"411155 Ivaté";2;0;0;1;0;0;3
"411160 Ivatuba";4;1;0;0;0;1;6
